layers,widths,lr,max_iters,training_acc, test_acc, if_test,train_time,test_time
2,"[128, 64]",1e-05,50,0.7858087161073408,0.7310302804884342,1,5.6818859577178955,0.011039972305297852
2,"[128, 64]",1e-05,100,0.9142286444385006,0.8646315474358097,1,10.947268009185791,0.010380983352661133
2,"[128, 64]",1e-05,150,0.9557081415471529,0.8855703724229537,1,16.256190061569214,0.010720968246459961
2,"[128, 64]",1e-05,200,0.9831404340060781,0.8851074114385099,1,22.914448738098145,0.012919187545776367
2,"[128, 64]",1e-05,250,0.9943955682364422,0.8904371065294587,1,28.48130512237549,0.01123809814453125
2,"[128, 64]",1e-05,50,0.7369009808541959,0.7026207821525183,0,4.4254090785980225,0.008176326751708984
2,"[128, 64]",1e-05,100,0.8951986286655407,0.8452605367036996,0,8.956974029541016,0.008575916290283203
2,"[128, 64]",1e-05,150,0.9442712324061695,0.8732146919553061,0,12.762038946151733,0.008992195129394531
2,"[128, 64]",1e-05,200,0.9731948515189834,0.8797987034204697,0,17.525553941726685,0.008454084396362305
2,"[128, 64]",1e-05,250,0.9900982811582576,0.8885573115406563,0,22.23186993598938,0.0076601505279541016
2,"[128, 64]",0.0001,10,0.8944942720755661,0.8436118228843418,0,0.8953521251678467,0.008080244064331055
2,"[128, 64]",0.0001,25,0.9855533096344502,0.8835274020036941,0,2.2120890617370605,0.008246183395385742
2,"[128, 64]",0.0001,50,1.0,0.8932838998071864,0,4.405969142913818,0.007961034774780273
2,"[128, 64]",0.0001,100,1.0,0.8982306922934585,0,8.992851972579956,0.008768796920776367
2,"[128, 64]",0.0001,10,0.911519980090753,0.8660103223761201,1,1.1550147533416748,0.009953022003173828
2,"[128, 64]",0.0001,25,0.9911094126447532,0.8882047286407924,1,2.730936050415039,0.011727094650268555
2,"[128, 64]",0.0001,50,1.0,0.8958278342712246,1,5.411710023880005,0.011736154556274414
2,"[128, 64]",0.0001,100,1.0,0.9022300649538895,1,10.735424041748047,0.009446859359741211
1,[128],1e-05,50,0.8514554141915077,0.79984803023325,1,4.498497009277344,0.010400056838989258
1,[128],1e-05,100,0.9279225584477911,0.8592563227205376,1,9.093135118484497,0.009969949722290039
1,[128],1e-05,150,0.9676355330754113,0.8819582653828443,1,13.450194835662842,0.01014089584350586
1,[128],1e-05,200,0.9882581869160608,0.8841399945332789,1,17.794448137283325,0.01022195816040039
1,[128],1e-05,250,0.9967883837702074,0.8954874952822289,1,22.30025005340576,0.010720968246459961
1,[128],1e-05,50,0.8282682547455625,0.7793457015705909,0,3.8601551055908203,0.007762908935546875
1,[128],1e-05,100,0.9141071991881876,0.8512102644002597,0,7.112349033355713,0.00808095932006836
1,[128],1e-05,150,0.956225507843582,0.8868168481256753,0,13.245930194854736,0.008143901824951172
1,[128],1e-05,200,0.9846311139600787,0.8932634890604605,0,15.031497955322266,0.00890803337097168
1,[128],1e-05,250,0.9936679880708882,0.8980685488377226,0,20.10730218887329,0.008695840835571289
1,[128],0.0001,10,0.9071414339326707,0.8450201302474822,0,0.774489164352417,0.0078089237213134766
1,[128],0.0001,25,0.986585987154162,0.8962853205739979,0,1.9205567836761475,0.008684873580932617
1,[128],0.0001,50,1.0,0.896640868710582,0,3.8845529556274414,0.008093833923339844
1,[128],0.0001,100,1.0,0.895178073735116,0,7.754930019378662,0.008318901062011719
1,[128],0.0001,10,0.9195806216227776,0.8532046939478587,1,0.9643368721008301,0.009540081024169922
1,[128],0.0001,25,0.9898174703250288,0.8855966067389209,1,2.3030269145965576,0.010541200637817383
1,[128],0.0001,50,0.9997916003480402,0.8996664418153246,1,4.5089380741119385,0.010046005249023438
1,[128],0.0001,100,1.0,0.9016821761449225,1,9.026839971542358,0.010051965713500977
3,"[128, 64, 32]",1e-05,50,0.5948293702519877,0.5588122776663857,1,6.03218412399292,0.010798215866088867
3,"[128, 64, 32]",1e-05,100,0.8679100472312047,0.8051660453345958,1,11.627753973007202,0.01117396354675293
3,"[128, 64, 32]",1e-05,150,0.9391648086456256,0.8590039679257291,1,17.444621086120605,0.011289119720458984
3,"[128, 64, 32]",1e-05,200,0.9710316626038346,0.8814112077445271,1,23.10913109779358,0.012071847915649414
3,"[128, 64, 32]",1e-05,250,0.9884374133425153,0.886958592136035,1,30.330084085464478,0.013553142547607422
3,"[128, 64, 32]",1e-05,50,0.49448527880892934,0.48166347115824026,0,4.635886907577515,0.008306026458740234
3,"[128, 64, 32]",1e-05,100,0.7514997435671613,0.7051201385934955,0,9.331207990646362,0.0083160400390625
3,"[128, 64, 32]",1e-05,150,0.9163672659930867,0.8469297442473597,0,14.321957111358643,0.0093841552734375
3,"[128, 64, 32]",1e-05,200,0.9553811993449702,0.8749642379676805,0,19.963189840316772,0.009238719940185547
3,"[128, 64, 32]",1e-05,250,0.980518608380275,0.8866258476743308,0,25.50714111328125,0.009787797927856445
3,"[128, 64, 32]",0.0001,10,0.7991596103648658,0.7488074000862708,0,0.9552469253540039,0.008195161819458008
3,"[128, 64, 32]",0.0001,25,0.9820034792167892,0.8862457676601405,0,2.312116861343384,0.00777888298034668
3,"[128, 64, 32]",0.0001,50,1.0,0.8925239832123708,0,4.763837814331055,0.006766080856323242
3,"[128, 64, 32]",0.0001,100,1.0,0.8896318663537668,0,9.255956172943115,0.007886886596679688
3,"[128, 64, 32]",0.0001,10,0.891370244083426,0.8188553402795202,1,1.1993389129638672,0.013740062713623047
3,"[128, 64, 32]",0.0001,25,0.9890406072282989,0.8851111584817664,1,3.194324016571045,0.012619972229003906
3,"[128, 64, 32]",0.0001,50,1.0,0.8921623768487166,1,5.824186086654663,0.01183009147644043
3,"[128, 64, 32]",0.0001,100,1.0,0.893669849413012,1,11.35800814628601,0.01108694076538086
4,"[128, 64, 32, 16]",1e-05,50,0.3643559295653915,0.3439659244464317,1,6.315942049026489,0.011845111846923828
4,"[128, 64, 32, 16]",1e-05,100,0.6472180342308396,0.5973132834785985,1,14.018884181976318,0.010910987854003906
4,"[128, 64, 32, 16]",1e-05,150,0.8124602773639824,0.7023637278713142,1,18.83199715614319,0.011365890502929688
4,"[128, 64, 32, 16]",1e-05,200,0.9258942708407674,0.8042683783519863,1,24.965022087097168,0.01157999038696289
4,"[128, 64, 32, 16]",1e-05,250,0.9604109418066683,0.8321750559548295,1,33.15260887145996,0.0119171142578125
4,"[128, 64, 32, 16]",1e-05,50,0.25613672151504285,0.2429390061655882,0,4.973031997680664,0.008603096008300781
4,"[128, 64, 32, 16]",1e-05,100,0.5757589940531533,0.532472865884302,0,10.104190826416016,0.006997108459472656
4,"[128, 64, 32, 16]",1e-05,150,0.7307209059383843,0.6590311985555529,0,15.534246921539307,0.009360074996948242
4,"[128, 64, 32, 16]",1e-05,200,0.8993923778976163,0.7853594205180137,0,22.406755924224854,0.007925033569335938
4,"[128, 64, 32, 16]",1e-05,250,0.94823877231926,0.8242929251932359,0,27.919179916381836,0.009202957153320312
4,"[128, 64, 32, 16]",0.0001,10,0.5977371873224563,0.5320814084545552,0,1.0993850231170654,0.00900411605834961
4,"[128, 64, 32, 16]",0.0001,25,0.9619056192855593,0.8222602879372063,0,2.5115411281585693,0.008780241012573242
4,"[128, 64, 32, 16]",0.0001,50,0.9991646732774815,0.8489382052045407,0,5.384917974472046,0.008685111999511719
4,"[128, 64, 32, 16]",0.0001,100,1.0,0.8500200516471864,0,9.981024026870728,0.008848905563354492
4,"[128, 64, 32, 16]",0.0001,10,0.6947920823971699,0.6306255142529131,1,1.3014459609985352,0.011593103408813477
4,"[128, 64, 32, 16]",0.0001,25,0.9689590029436392,0.8330065830653408,1,3.201688766479492,0.010885000228881836
4,"[128, 64, 32, 16]",0.0001,50,0.999361706856558,0.8504402679227565,1,6.291105031967163,0.010844945907592773
4,"[128, 64, 32, 16]",0.0001,100,1.0,0.8577362864053304,1,12.504531860351562,0.010320901870727539
1,[64],1e-05,50,0.7670403993324408,0.7197924949355323,1,4.598408937454224,0.01015329360961914
1,[64],1e-05,100,0.8936208869098128,0.8306285460452214,1,8.473759889602661,0.009150981903076172
1,[64],1e-05,150,0.9363381490886862,0.8578986782767822,1,13.865889072418213,0.009432077407836914
1,[64],1e-05,200,0.9614056739517816,0.8766351188652667,1,16.026812076568604,0.009108304977416992
1,[64],1e-05,250,0.9771310348417739,0.88250314386624,1,21.007962942123413,0.01184988021850586
1,[64],1e-05,50,0.720395985865647,0.6629552576386798,0,3.2085001468658447,0.0068721771240234375
1,[64],1e-05,100,0.875010998224808,0.8130092170167545,0,8.554471969604492,0.0075168609619140625
1,[64],1e-05,150,0.9191608962443544,0.8648849310070063,0,13.195828914642334,0.008121967315673828
1,[64],1e-05,200,0.9474429055738932,0.8765488516703055,0,17.279364109039307,0.00839686393737793
1,[64],1e-05,250,0.9707420937911634,0.8837726938881663,0,20.088263034820557,0.008140087127685547
1,[64],0.0001,10,0.8709839539955752,0.8100967244837778,0,0.7135369777679443,0.007543802261352539
1,[64],0.0001,25,0.9582107667506072,0.8762927901409642,0,1.5767760276794434,0.0074880123138427734
1,[64],0.0001,50,0.9966560195743173,0.8912176681643974,0,3.31363582611084,0.007330656051635742
1,[64],0.0001,100,1.0,0.8932179920038295,0,6.284050941467285,0.0071070194244384766
1,[64],0.0001,10,0.8879869359832178,0.8277611811102237,1,0.8775110244750977,0.00972127914428711
1,[64],0.0001,25,0.9669163772639372,0.8808300138687681,1,2.3216609954833984,0.047598838806152344
1,[64],0.0001,50,0.997447410963777,0.8908045849755212,1,4.229330062866211,0.009172201156616211
1,[64],0.0001,100,1.0,0.8920793365802293,1,8.159491062164307,0.009515047073364258
